Pos,No,Driver,Car,Lap,Timeofday,Time,AvgSpeed
1,44,LewisHamilton,Mercedes,57,16:24:16,1:21.386,193.787
2,16,CharlesLeclerc,Ferrari,57,16:24:32,1:21.622,193.227
3,11,SergioPerez,RedBullRacingRBPT,44,16:06:30,1:21.940,192.477
4,55,CarlosSainz,Ferrari,51,16:15:54,1:22.000,192.336
5,24,ZhouGuanyu,AlfaRomeoFerrari,58,16:27:27,1:22.029,192.268
6,1,MaxVerstappen,RedBullRacingRBPT,45,16:07:26,1:22.126,192.041
7,18,LanceStroll,AstonMartinAramcoMercedes,51,16:17:04,1:22.437,191.317
8,6,NicholasLatifi,WilliamsMercedes,60,16:30:47,1:22.478,191.221
9,63,GeorgeRussell,Mercedes,57,16:24:09,1:22.766,190.556
10,5,SebastianVettel,AstonMartinAramcoMercedes,51,16:17:09,1:22.824,190.423
11,4,LandoNorris,McLarenMercedes,47,16:11:00,1:23.043,189.920
12,23,AlexanderAlbon,WilliamsMercedes,43,16:06:22,1:23.047,189.911
13,47,MickSchumacher,HaasFerrari,50,16:15:58,1:23.151,189.674
14,10,PierreGasly,AlphaTauriRBPT,58,16:27:03,1:23.199,189.564
15,20,KevinMagnussen,HaasFerrari,37,15:57:44,1:23.511,188.856
16,22,YukiTsunoda,AlphaTauriRBPT,58,16:28:17,1:23.538,188.795
17,3,DanielRicciardo,McLarenMercedes,63,16:34:10,1:23.654,188.533
18,14,FernandoAlonso,AlpineRenault,47,16:11:06,1:23.979,187.804
19,77,ValtteriBottas,AlfaRomeoFerrari,60,16:29:36,1:24.002,187.752
20,31,EstebanOcon,AlpineRenault,60,16:29:29,1:24.149,187.424