Pos,No,Driver,Car,Lap,Time of day,Time,Avg Speed
1,4,Lando Norris,McLaren Mercedes,55,17:50:21,01:14.7,160.834
2,22,Yuki Tsunoda,AlphaTauri RBPT,61,17:59:29,01:15.3,159.465
3,14,Fernando Alonso,Alpine Renault,50,17:44:03,01:15.9,158.314
4,11,Sergio Perez,Red Bull Racing RBPT,46,17:38:05,01:16.0,158.01
5,1,Max Verstappen,Red Bull Racing RBPT,47,17:39:26,01:16.1,157.96
6,16,Charles Leclerc,Ferrari,46,17:38:11,01:16.2,157.552
7,55,Carlos Sainz,Ferrari,47,17:39:24,01:16.4,157.197
8,63,George Russell,Mercedes,42,17:33:07,01:16.8,156.36
9,44,Lewis Hamilton,Mercedes,51,17:45:23,01:17.2,155.605
10,10,Pierre Gasly,AlphaTauri RBPT,61,17:58:30,01:17.3,155.321
11,3,Daniel Ricciardo,McLaren Mercedes,59,17:55:57,01:17.5,154.945
12,5,Sebastian Vettel,Aston Martin Aramco Mercedes,54,17:49:23,01:17.6,154.893
13,31,Esteban Ocon,Alpine Renault,50,17:44:08,01:17.6,154.867
14,77,Valtteri Bottas,Alfa Romeo Ferrari,57,17:53:15,01:17.6,154.809
15,18,Lance Stroll,Aston Martin Aramco Mercedes,56,17:52:05,01:17.7,154.665
16,23,Alexander Albon,Williams Mercedes,40,17:31:11,01:18.0,153.969
17,24,Zhou Guanyu,Alfa Romeo Ferrari,52,17:47:01,01:18.2,153.621
18,6,Nicholas Latifi,Williams Mercedes,43,17:35:05,01:18.6,152.88
19,47,Mick Schumacher,Haas Ferrari,24,16:46:27,01:24.8,141.701
20,20,Kevin Magnussen,Haas Ferrari,18,16:36:37,01:33.8,128.135